PositionX, PositionY, is_walkable, is_shootable,  DistanceToEnemyFlag, DistanceToOwnFlag, DistanceToEnemyBase, DistanceToOwnBase, DistanceToEnemyFlagScore, DistanceToOwnFlagScore, DistanceToEnemyFlagSpawn, DistanceToOwnFlagSpawn, Visibility
1, 22, 1, 1, 55, 59, 5, 87, 67, 59, 55, 55, 24
1, 23, 1, 1, 56, 60, 4, 86, 66, 58, 56, 56, 23
1, 24, 1, 1, 57, 61, 3, 85, 65, 57, 57, 57, 21
1, 25, 1, 1, 58, 62, 2, 84, 64, 56, 58, 58, 20
1, 26, 1, 1, 59, 63, 3, 85, 63, 55, 59, 59, 19
1, 27, 1, 1, 60, 64, 4, 86, 62, 54, 60, 60, 18
1, 28, 1, 1, 61, 65, 5, 87, 61, 53, 61, 61, 17
1, 29, 1, 1, 62, 66, 6, 88, 60, 52, 62, 62, 16
1, 30, 1, 1, 63, 67, 7, 89, 59, 51, 63, 63, 15
1, 31, 1, 1, 64, 68, 8, 90, 58, 50, 64, 64, 13
1, 32, 1, 1, 65, 69, 9, 91, 57, 49, 65, 65, 11
1, 33, 1, 1, 66, 70, 10, 92, 56, 48, 66, 66, 14
1, 34, 1, 1, 67, 71, 11, 93, 55, 47, 67, 67, 18
1, 35, 1, 1, 68, 72, 12, 94, 54, 46, 68, 68, 18
1, 36, 1, 1, 69, 73, 13, 95, 53, 45, 69, 69, 17
1, 37, 1, 1, 70, 74, 14, 96, 52, 44, 70, 70, 17
1, 38, 0, 0, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 0
1, 39, 0, 0, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 0
1, 40, 0, 0, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 0
1, 41, 0, 0, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 0
1, 42, 0, 0, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 0
1, 43, 0, 0, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 0
1, 44, 1, 1, 77, 81, 27, 103, 53, 45, 77, 77, 15
1, 45, 1, 1, 78, 82, 28, 104, 54, 46, 78, 78, 18
1, 46, 1, 1, 79, 83, 29, 105, 53, 45, 79, 79, 19
1, 47, 1, 1, 80, 84, 30, 106, 52, 44, 80, 80, 20
1, 48, 1, 1, 81, 85, 31, 107, 53, 45, 81, 81, 19
1, 49, 1, 1, 82, 86, 32, 108, 54, 46, 82, 82, 19
2, 0, 1, 1, 48, 52, 26, 108, 88, 80, 48, 48, 28
2, 1, 1, 1, 47, 51, 25, 107, 87, 79, 47, 47, 29
2, 2, 1, 1, 46, 50, 24, 106, 86, 78, 46, 46, 30
2, 3, 1, 1, 45, 49, 23, 105, 85, 77, 45, 45, 32
2, 4, 1, 1, 44, 48, 22, 104, 84, 76, 44, 44, 33
2, 5, 1, 1, 43, 47, 21, 103, 83, 75, 43, 43, 33
2, 6, 1, 1, 44, 48, 20, 102, 82, 74, 44, 44, 34
2, 7, 1, 1, 45, 49, 19, 101, 81, 73, 45, 45, 34
2, 8, 1, 1, 46, 50, 18, 100, 80, 72, 46, 46, 34
2, 9, 1, 1, 45, 49, 17, 99, 79, 71, 45, 45, 34
2, 10, 1, 1, 44, 48, 16, 98, 78, 70, 44, 44, 35
2, 11, 1, 1, 45, 49, 15, 97, 77, 69, 45, 45, 34
2, 12, 0, 0, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 0
2, 13, 0, 0, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 0
2, 14, 0, 0, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 0
2, 15, 0, 0, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 0
2, 16, 1, 1, 48, 52, 10, 92, 72, 64, 48, 48, 23
2, 17, 1, 1, 49, 53, 9, 91, 71, 63, 49, 49, 25
2, 18, 1, 1, 50, 54, 8, 90, 70, 62, 50, 50, 23
2, 19, 1, 1, 51, 55, 7, 89, 69, 61, 51, 51, 21
2, 20, 1, 1, 52, 56, 6, 88, 68, 60, 52, 52, 22
2, 21, 1, 1, 53, 57, 5, 87, 67, 59, 53, 53, 24
2, 22, 1, 1, 54, 58, 4, 86, 66, 58, 54, 54, 24
2, 23, 1, 1, 55, 59, 3, 85, 65, 57, 55, 55, 23
2, 24, 1, 1, 56, 60, 2, 84, 64, 56, 56, 56, 22
2, 25, 1, 1, 57, 61, 1, 83, 63, 55, 57, 57, 20
2, 26, 1, 1, 58, 62, 2, 84, 62, 54, 58, 58, 19
2, 27, 1, 1, 59, 63, 3, 85, 63, 55, 59, 59, 18
2, 28, 1, 1, 60, 64, 4, 86, 62, 54, 60, 60, 16
2, 29, 1, 1, 61, 65, 5, 87, 61, 53, 61, 61, 15
2, 30, 1, 1, 62, 66, 6, 88, 60, 52, 62, 62, 13
2, 31, 0, 0, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 0
2, 32, 0, 0, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 0
2, 33, 0, 0, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 0
2, 34, 1, 1, 66, 70, 12, 92, 54, 46, 66, 66, 16
2, 35, 1, 1, 67, 71, 13, 93, 53, 45, 67, 67, 19
2, 36, 1, 1, 68, 72, 14, 94, 52, 44, 68, 68, 20
2, 37, 1, 1, 69, 73, 15, 95, 51, 43, 69, 69, 18
2, 38, 0, 0, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 0
2, 39, 0, 0, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 0
2, 40, 0, 0, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 0
2, 41, 0, 0, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 0
2, 42, 0, 0, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 0
2, 43, 0, 0, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 0
2, 44, 1, 1, 76, 80, 26, 102, 52, 44, 76, 76, 20
2, 45, 1, 1, 77, 81, 27, 103, 53, 45, 77, 77, 22
2, 46, 1, 1, 78, 82, 28, 104, 52, 44, 78, 78, 22
2, 47, 1, 1, 79, 83, 29, 105, 51, 43, 79, 79, 22
2, 48, 1, 1, 80, 84, 30, 106, 52, 44, 80, 80, 22
2, 49, 1, 1, 81, 85, 31, 107, 53, 45, 81, 81, 21
3, 0, 1, 1, 47, 51, 25, 107, 87, 79, 47, 47, 30
3, 1, 1, 1, 46, 50, 24, 106, 86, 78, 46, 46, 31
3, 2, 1, 1, 45, 49, 23, 105, 85, 77, 45, 45, 33
3, 3, 1, 1, 44, 48, 22, 104, 84, 76, 44, 44, 34
3, 4, 1, 1, 43, 47, 21, 103, 83, 75, 43, 43, 34
3, 5, 1, 1, 42, 46, 20, 102, 82, 74, 42, 42, 35
3, 6, 1, 1, 43, 47, 19, 101, 81, 73, 43, 43, 36
3, 7, 1, 1, 44, 48, 18, 100, 80, 72, 44, 44, 36
3, 8, 1, 1, 45, 49, 17, 99, 79, 71, 45, 45, 37
3, 9, 1, 1, 44, 48, 16, 98, 78, 70, 44, 44, 38
3, 10, 1, 1, 43, 47, 15, 97, 77, 69, 43, 43, 38
3, 11, 1, 1, 44, 48, 14, 96, 76, 68, 44, 44, 39
3, 12, 1, 1, 45, 49, 13, 95, 75, 67, 45, 45, 38
3, 13, 1, 1, 46, 50, 12, 94, 74, 66, 46, 46, 37
3, 14, 1, 1, 47, 51, 11, 93, 73, 65, 47, 47, 36
3, 15, 1, 1, 46, 50, 10, 92, 72, 64, 46, 46, 33
3, 16, 1, 1, 47, 51, 9, 91, 71, 63, 47, 47, 31
3, 17, 1, 1, 48, 52, 8, 90, 70, 62, 48, 48, 28
3, 18, 1, 1, 49, 53, 7, 89, 69, 61, 49, 49, 23
3, 19, 1, 1, 50, 54, 6, 88, 68, 60, 50, 50, 20
3, 20, 1, 1, 51, 55, 5, 87, 67, 59, 51, 51, 17
3, 21, 1, 1, 52, 56, 4, 86, 66, 58, 52, 52, 21
3, 22, 1, 1, 53, 57, 3, 85, 65, 57, 53, 53, 22
3, 23, 1, 1, 54, 58, 2, 84, 64, 56, 54, 54, 22
3, 24, 1, 1, 55, 59, 1, 83, 63, 55, 55, 55, 21
3, 25, 1, 1, 56, 60, 0, 82, 62, 54, 56, 56, 20
3, 26, 1, 1, 57, 61, 1, 83, 61, 53, 57, 57, 19
3, 27, 1, 1, 58, 62, 2, 84, 62, 54, 58, 58, 16
3, 28, 1, 1, 59, 63, 3, 85, 63, 55, 59, 59, 15
3, 29, 1, 1, 60, 64, 4, 86, 62, 54, 60, 60, 13
3, 30, 0, 0, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 0
3, 31, 0, 0, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 0
3, 32, 0, 0, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 0
3, 33, 0, 0, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 0
3, 34, 1, 1, 65, 69, 13, 91, 53, 45, 65, 65, 19
3, 35, 1, 1, 66, 70, 14, 92, 52, 44, 66, 66, 24
3, 36, 1, 1, 67, 71, 15, 93, 51, 43, 67, 67, 25
3, 37, 1, 1, 68, 72, 16, 94, 50, 42, 68, 68, 24
3, 38, 0, 0, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 0
3, 39, 0, 0, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 0
3, 40, 0, 0, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 0
3, 41, 0, 0, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 0
3, 42, 0, 0, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 0
3, 43, 1, 1, 74, 78, 24, 100, 50, 42, 74, 74, 24
3, 44, 1, 1, 75, 79, 25, 101, 51, 43, 75, 75, 26
3, 45, 1, 1, 76, 80, 26, 102, 52, 44, 76, 76, 26
3, 46, 1, 1, 77, 81, 27, 103, 51, 43, 77, 77, 25
3, 47, 1, 1, 78, 82, 28, 104, 50, 42, 78, 78, 25
3, 48, 1, 1, 79, 83, 29, 105, 51, 43, 79, 79, 24
3, 49, 1, 1, 80, 84, 30, 106, 52, 44, 80, 80, 23
4, 0, 1, 1, 46, 50, 26, 106, 86, 78, 46, 46, 31
4, 1, 1, 1, 45, 49, 25, 105, 85, 77, 45, 45, 33
4, 2, 1, 1, 44, 48, 24, 104, 84, 76, 44, 44, 34
4, 3, 1, 1, 43, 47, 23, 103, 83, 75, 43, 43, 36
4, 4, 1, 1, 42, 46, 22, 102, 82, 74, 42, 42, 37
4, 5, 1, 1, 41, 45, 21, 101, 81, 73, 41, 41, 37
4, 6, 1, 1, 42, 46, 20, 100, 80, 72, 42, 42, 38
4, 7, 1, 1, 43, 47, 19, 99, 79, 71, 43, 43, 38
4, 8, 1, 1, 44, 48, 18, 98, 78, 70, 44, 44, 39
4, 9, 1, 1, 43, 47, 17, 97, 77, 69, 43, 43, 40
4, 10, 1, 1, 42, 46, 16, 96, 76, 68, 42, 42, 41
4, 11, 1, 1, 43, 47, 15, 95, 75, 67, 43, 43, 41
4, 12, 1, 1, 44, 48, 14, 94, 74, 66, 44, 44, 41
4, 13, 1, 1, 45, 49, 13, 93, 73, 65, 45, 45, 40
4, 14, 1, 1, 46, 50, 12, 92, 72, 64, 46, 46, 39
4, 15, 1, 1, 45, 49, 11, 91, 71, 63, 45, 45, 35
4, 16, 1, 1, 46, 50, 10, 90, 70, 62, 46, 46, 31
4, 17, 1, 1, 47, 51, 9, 89, 69, 61, 47, 47, 28
4, 18, 1, 1, 48, 52, 8, 90, 70, 62, 48, 48, 17
4, 19, 0, 0, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 0
4, 20, 0, 0, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 0
4, 21, 0, 0, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 0
4, 22, 1, 1, 54, 58, 4, 84, 64, 56, 54, 54, 19
4, 23, 1, 1, 53, 57, 3, 83, 63, 55, 53, 53, 20
4, 24, 1, 1, 54, 58, 2, 82, 62, 54, 54, 54, 20
4, 25, 1, 1, 55, 59, 1, 81, 61, 53, 55, 55, 19
4, 26, 1, 1, 56, 60, 2, 82, 60, 52, 56, 56, 18
4, 27, 1, 1, 57, 61, 3, 83, 61, 53, 57, 57, 16
4, 28, 1, 1, 58, 62, 4, 84, 62, 54, 58, 58, 14
4, 29, 1, 1, 59, 63, 5, 85, 63, 55, 59, 59, 10
4, 30, 0, 0, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 0
4, 31, 0, 0, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 0
4, 32, 0, 0, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 0
4, 33, 0, 0, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 0
4, 34, 1, 1, 64, 68, 14, 90, 52, 44, 64, 64, 22
4, 35, 1, 1, 65, 69, 15, 91, 51, 43, 65, 65, 28
4, 36, 1, 1, 66, 70, 16, 92, 50, 42, 66, 66, 29
4, 37, 1, 1, 67, 71, 17, 93, 49, 41, 67, 67, 29
4, 38, 1, 1, 68, 72, 18, 94, 50, 42, 68, 68, 28
4, 39, 1, 1, 69, 73, 19, 95, 51, 43, 69, 69, 26
4, 40, 1, 1, 70, 74, 20, 96, 52, 44, 70, 70, 25
4, 41, 1, 1, 71, 75, 21, 97, 51, 43, 71, 71, 26
4, 42, 1, 1, 72, 76, 22, 98, 50, 42, 72, 72, 28
4, 43, 1, 1, 73, 77, 23, 99, 49, 41, 73, 73, 28
4, 44, 1, 1, 74, 78, 24, 100, 50, 42, 74, 74, 28
4, 45, 1, 1, 75, 79, 25, 101, 51, 43, 75, 75, 27
4, 46, 1, 1, 76, 80, 26, 102, 50, 42, 76, 76, 27
4, 47, 1, 1, 77, 81, 27, 103, 49, 41, 77, 77, 27
4, 48, 1, 1, 78, 82, 28, 104, 50, 42, 78, 78, 26
4, 49, 1, 1, 79, 83, 29, 105, 51, 43, 79, 79, 25
5, 0, 1, 1, 45, 49, 27, 105, 85, 77, 45, 45, 33
5, 1, 1, 1, 44, 48, 26, 104, 84, 76, 44, 44, 35
5, 2, 1, 1, 43, 47, 25, 103, 83, 75, 43, 43, 36
5, 3, 1, 1, 42, 46, 24, 102, 82, 74, 42, 42, 37
5, 4, 1, 1, 41, 45, 23, 101, 81, 73, 41, 41, 39
5, 5, 1, 1, 40, 44, 22, 100, 80, 72, 40, 40, 39
5, 6, 1, 1, 41, 45, 21, 99, 79, 71, 41, 41, 40
5, 7, 1, 1, 42, 46, 20, 98, 78, 70, 42, 42, 40
5, 8, 1, 1, 43, 47, 19, 97, 77, 69, 43, 43, 40
5, 9, 1, 1, 42, 46, 18, 96, 76, 68, 42, 42, 41
5, 10, 1, 1, 41, 45, 17, 95, 75, 67, 41, 41, 42
5, 11, 1, 1, 42, 46, 16, 94, 74, 66, 42, 42, 42
5, 12, 1, 1, 43, 47, 15, 93, 73, 65, 43, 43, 41
5, 13, 1, 1, 44, 48, 14, 92, 72, 64, 44, 44, 39
5, 14, 1, 1, 45, 49, 13, 91, 71, 63, 45, 45, 38
5, 15, 1, 1, 44, 48, 12, 90, 70, 62, 44, 44, 34
5, 16, 1, 1, 45, 49, 11, 89, 69, 61, 45, 45, 30
5, 17, 1, 1, 46, 50, 10, 88, 68, 60, 46, 46, 26
5, 18, 0, 0, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 0
5, 19, 0, 0, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 0
5, 20, 0, 0, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 0
5, 21, 0, 0, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 0
5, 22, 1, 1, 53, 57, 5, 83, 63, 55, 53, 53, 15
5, 23, 1, 1, 52, 56, 4, 82, 62, 54, 52, 52, 20
5, 24, 1, 1, 53, 57, 3, 81, 61, 53, 53, 53, 20
5, 25, 1, 1, 54, 58, 2, 80, 60, 52, 54, 54, 19
5, 26, 1, 1, 55, 59, 3, 81, 59, 51, 55, 55, 19
5, 27, 1, 1, 56, 60, 4, 82, 60, 52, 56, 56, 15
5, 28, 0, 0, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 0
5, 29, 0, 0, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 0
5, 30, 0, 0, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 0
5, 31, 0, 0, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 0
5, 32, 0, 0, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 0
5, 33, 0, 0, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 0
5, 34, 1, 1, 63, 67, 15, 89, 51, 43, 63, 63, 30
5, 35, 1, 1, 64, 68, 16, 90, 50, 42, 64, 64, 31
5, 36, 1, 1, 65, 69, 17, 91, 49, 41, 65, 65, 31
5, 37, 1, 1, 66, 70, 18, 92, 48, 40, 66, 66, 30
5, 38, 1, 1, 67, 71, 19, 93, 49, 41, 67, 67, 29
5, 39, 1, 1, 68, 72, 20, 94, 50, 42, 68, 68, 27
5, 40, 1, 1, 69, 73, 21, 95, 51, 43, 69, 69, 27
5, 41, 1, 1, 70, 74, 22, 96, 50, 42, 70, 70, 28
5, 42, 1, 1, 71, 75, 23, 97, 49, 41, 71, 71, 29
5, 43, 1, 1, 72, 76, 24, 98, 48, 40, 72, 72, 29
5, 44, 1, 1, 73, 77, 25, 99, 49, 41, 73, 73, 29
5, 45, 1, 1, 74, 78, 26, 100, 50, 42, 74, 74, 29
5, 46, 1, 1, 75, 79, 27, 101, 49, 41, 75, 75, 29
5, 47, 1, 1, 76, 80, 28, 102, 48, 40, 76, 76, 28
5, 48, 1, 1, 77, 81, 29, 103, 49, 41, 77, 77, 28
5, 49, 1, 1, 78, 82, 30, 104, 50, 42, 78, 78, 26
6, 0, 1, 1, 44, 48, 28, 104, 84, 76, 44, 44, 35
6, 1, 1, 1, 43, 47, 27, 103, 83, 75, 43, 43, 37
6, 2, 1, 1, 42, 46, 26, 102, 82, 74, 42, 42, 38
6, 3, 1, 1, 41, 45, 25, 101, 81, 73, 41, 41, 40
6, 4, 1, 1, 40, 44, 24, 100, 80, 72, 40, 40, 41
6, 5, 1, 1, 39, 43, 23, 99, 79, 71, 39, 39, 42
6, 6, 1, 1, 40, 44, 22, 98, 78, 70, 40, 40, 42
6, 7, 1, 1, 41, 45, 21, 97, 77, 69, 41, 41, 41
6, 8, 1, 1, 42, 46, 20, 96, 76, 68, 42, 42, 41
6, 9, 1, 1, 41, 45, 19, 95, 75, 67, 41, 41, 42
6, 10, 1, 1, 40, 44, 18, 94, 74, 66, 40, 40, 42
6, 11, 1, 1, 41, 45, 17, 93, 73, 65, 41, 41, 41
6, 12, 1, 1, 42, 46, 16, 92, 72, 64, 42, 42, 38
6, 13, 1, 1, 43, 47, 15, 91, 71, 63, 43, 43, 36
6, 14, 1, 1, 44, 48, 14, 90, 70, 62, 44, 44, 35
6, 15, 1, 1, 43, 47, 13, 89, 69, 61, 43, 43, 33
6, 16, 1, 1, 44, 48, 12, 88, 68, 60, 44, 44, 30
6, 17, 1, 1, 45, 49, 11, 87, 67, 59, 45, 45, 25
6, 18, 0, 0, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 0
6, 19, 0, 0, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 0
6, 20, 0, 0, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 0
6, 21, 0, 0, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 0
6, 22, 0, 0, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 0
6, 23, 1, 1, 51, 55, 5, 81, 61, 53, 51, 51, 20
6, 24, 1, 1, 52, 56, 4, 80, 60, 52, 52, 52, 21
6, 25, 1, 1, 53, 57, 3, 79, 59, 51, 53, 53, 22
6, 26, 1, 1, 54, 58, 4, 80, 58, 50, 54, 54, 21
6, 27, 0, 0, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 0
6, 28, 0, 0, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 0
6, 29, 0, 0, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 0
